ISO,month,stock_topic_1
AFG,2010-01-01,0.0281334273663314
AFG,2010-02-01,0.0289516961720015
AFG,2010-03-01,0.0299252800623927
AFG,2010-04-01,0.0318102043197166
AFG,2010-05-01,0.0349017819534942
AFG,2010-06-01,0.0338581656492887
AFG,2010-07-01,0.0339605659438975
AFG,2010-08-01,0.0332750764228622
AFG,2010-09-01,0.0317284023546879
AFG,2010-10-01,0.0328710783974999
AFG,2010-11-01,0.032475188887119
AFG,2010-12-01,0.0332343509793079
AFG,2011-01-01,0.0330562404732999
AFG,2011-02-01,0.0335911144882729
AFG,2011-03-01,0.0491926508892215
AFG,2011-04-01,0.0595405158903515
AFG,2011-05-01,0.0668088248199653
AFG,2011-06-01,0.0671623916397239
AFG,2011-07-01,0.0699222252730188
AFG,2011-08-01,0.074917783530885
AFG,2011-09-01,0.0724238089297396
AFG,2011-10-01,0.0755686697996963
AFG,2011-11-01,0.0768712583204701
AFG,2011-12-01,0.0792912968927111
AFG,2012-01-01,0.0846458582254764
AFG,2012-02-01,0.0840934387031158
AFG,2012-03-01,0.0841263052568528
AFG,2012-04-01,0.0858405626311767
AFG,2012-05-01,0.082764983021851
AFG,2012-06-01,0.0828516400561353
AFG,2012-07-01,0.0815917059476478
AFG,2012-08-01,0.0798460676531212
AFG,2012-09-01,0.0799872584034505
AFG,2012-10-01,0.0823293566594606
AFG,2012-11-01,0.0827049272230617
AFG,2012-12-01,0.0861099708607548
AFG,2013-01-01,0.0875304905365862
AFG,2013-02-01,0.0896049041243545
AFG,2013-03-01,0.0938025267928197
AFG,2013-04-01,0.09593296685784
AFG,2013-05-01,0.0938087808896396
AFG,2013-06-01,0.0913518547082654
AFG,2013-07-01,0.0887961486395922
AFG,2013-08-01,0.0889051050689452
AFG,2013-09-01,0.0878294136340583
AFG,2013-10-01,0.0850364073828303
AFG,2013-11-01,0.0821194990806386
AFG,2013-12-01,0.0830259430672351
AFG,2014-01-01,0.0855233986802375
AFG,2014-02-01,0.085292873784867
AFG,2014-03-01,0.0824717921881863
AFG,2014-04-01,0.0860312461764485
AFG,2014-05-01,0.0909220164843001
AFG,2014-06-01,0.0871578752361837
AFG,2014-07-01,0.0849415559005719
AFG,2014-08-01,0.0841480634419615
AFG,2014-09-01,0.0821389483305231
AFG,2014-10-01,0.0802866283033327
AFG,2014-11-01,0.0786838230048
AFG,2014-12-01,0.0820699380908725
AFG,2015-01-01,0.0831635775370939
AFG,2015-02-01,0.0824675059601727
AFG,2015-03-01,0.085596700761271
AFG,2015-04-01,0.0898658547254856
AFG,2015-05-01,0.0898363363760967
AFG,2015-06-01,0.090174472854539
AFG,2015-07-01,0.0883286441975493
AFG,2015-08-01,0.0856219373043099
AFG,2015-09-01,0.0857424994086555
AFG,2015-10-01,0.0832191741342028
AFG,2015-11-01,0.0885932090152161
AFG,2015-12-01,0.0870925697860334
AFG,2016-01-01,0.089342713734285
AFG,2016-02-01,0.089075750958343
AFG,2016-03-01,0.0916581279841065
AFG,2016-04-01,0.0909308023896322
AFG,2016-05-01,0.0917674707803415
AFG,2016-06-01,0.0880338637974035
AFG,2016-07-01,0.0851200711589767
AFG,2016-08-01,0.0880325416674742
AFG,2016-09-01,0.0848375670104286
AFG,2016-10-01,0.083845834036244
AFG,2016-11-01,0.081084150342353
AFG,2016-12-01,0.0828803129353062
AFG,2017-01-01,0.0852975147396555
AFG,2017-02-01,0.0862924420798795
AFG,2017-03-01,0.0877376474480959
AFG,2017-04-01,0.0874396918502219
AFG,2017-05-01,0.0852844782848654
AFG,2017-06-01,0.0773617547298944
AFG,2017-07-01,0.0802529857959811
AFG,2017-08-01,0.073128917968361
AFG,2017-09-01,0.0726742383479403
AFG,2017-10-01,0.0754796714170629
AFG,2017-11-01,0.0801694096752332
AFG,2017-12-01,0.0839785419367256
AFG,2018-01-01,0.0823357501830591
AFG,2018-02-01,0.0851398209802522
AFG,2018-03-01,0.0876722702458683
AFG,2018-04-01,0.0887882656619296
AFG,2018-05-01,0.0943734426974765
AFG,2018-06-01,0.0942821336227958
AFG,2018-07-01,0.0961198102208319
AFG,2018-08-01,0.0969436652410101
AFG,2018-09-01,0.0960013002272876
AFG,2018-10-01,0.0944647050540546
AFG,2018-11-01,0.0960192577554294
AFG,2018-12-01,0.0943250962113488
AFG,2019-01-01,0.0920025301007542
AFG,2019-02-01,0.0933085356085899
AFG,2019-03-01,0.0969650368966729
AFG,2019-04-01,0.1043240613583381
AFG,2019-05-01,0.1048380520448063
AFG,2019-06-01,0.1013460591740026
AFG,2019-07-01,0.101750532014362
AFG,2019-08-01,0.095135165339013
AFG,2019-09-01,0.0869198433656732
AFG,2019-10-01,0.0870618191643976
AFG,2019-11-01,0.0889347126955747
AFG,2019-12-01,0.0912088279961087
AFG,2020-01-01,0.0958523340447325
AFG,2020-02-01,0.1010521348913832
AFG,2020-03-01,0.1079292747703663
AFG,2020-04-01,0.1370727999265571
AFG,2020-05-01,0.1536876103509355
AFG,2020-06-01,0.1719682711907336
AFG,2020-07-01,0.1809732212774113
AFG,2020-08-01,0.1832824905418769
AFG,2020-09-01,0.1843013011111757
AFG,2020-10-01,0.1798775829713605
AFG,2020-11-01,0.1713287071696002
AFG,2020-12-01,0.1743981443665084
AFG,2021-01-01,0.1736240326844072
AFG,2021-02-01,0.168140482682765
AFG,2021-03-01,0.1612321748620276
AFG,2021-04-01,0.1457121109246883
AFG,2021-05-01,0.1435208114227212
AFG,2021-06-01,0.1417854956642632
AFG,2021-07-01,0.1298478347349393
AFG,2021-08-01,0.078232101821307
AFG,2021-09-01,0.0735341644115018
AFG,2021-10-01,0.0736550005903543
AFG,2021-11-01,0.0758931390876873
AFG,2021-12-01,0.0803890935735714
AFG,2022-01-01,0.0865427737489916
AFG,2022-02-01,0.0901821307650583
AFG,2022-03-01,0.0934149033967443
AFG,2022-04-01,0.0941016612727983
AFG,2022-05-01,0.0959309714932671
AFG,2022-06-01,0.1049588169643763
AFG,2022-07-01,0.1064342493953183
AFG,2022-08-01,0.1060058907806733
AFG,2022-09-01,0.1093626345683101
AFG,2022-10-01,0.1148515292255275
AFG,2022-11-01,0.1193334145122825
AFG,2022-12-01,0.1209452674361939
AFG,2023-01-01,0.1251463352750156
AFG,2023-02-01,0.1248529579443398
AFG,2023-03-01,0.1272187657181788
AFG,2023-04-01,0.1260729786404698
AFG,2023-05-01,0.127375625364969
AFG,2023-06-01,0.1296485670538604
AFG,2023-07-01,0.1304097127850311
AFG,2023-08-01,0.1287669473777835
AFG,2023-09-01,0.1296835949553773
AFG,2023-10-01,0.1334934898311167
AFG,2023-11-01,0.1335166526701265
AFG,2023-12-01,0.133956350269612
AFG,2024-01-01,0.1302059493647633
AFG,2024-02-01,0.1279449994395732
AFG,2024-03-01,0.1285444545984484
AFG,2024-04-01,0.1306475675087871
AFG,2024-05-01,0.136118307247606
AFG,2024-06-01,0.1352342950429654
AFG,2024-07-01,0.1349202776942339
AFG,2024-08-01,0.1285913326128935
AFG,2024-09-01,0.123137219739254
AFG,2024-10-01,0.1201806784299713
AFG,2024-11-01,0.1250923514614249
AFG,2024-12-01,0.1241337324369225
AGO,2010-01-01,0.0557644921156074
AGO,2010-02-01,0.0597419081144708
AGO,2010-03-01,0.061253749811154
AGO,2010-04-01,0.0605327460568526
AGO,2010-05-01,0.058355897658756
AGO,2010-06-01,0.0588663615028126
AGO,2010-07-01,0.0689982975881062
AGO,2010-08-01,0.076237967833055
AGO,2010-09-01,0.0673449764121707
AGO,2010-10-01,0.0641751290558929
AGO,2010-11-01,0.060075588892803
AGO,2010-12-01,0.060075588892803
AGO,2011-01-01,0.0594478868347763
AGO,2011-02-01,0.0620813640099301
AGO,2011-03-01,0.0627596123545548
AGO,2011-04-01,0.0662781323841235
AGO,2011-05-01,0.0736530181620365
AGO,2011-06-01,0.0735111147944719
AGO,2011-07-01,0.0711716039928545
AGO,2011-08-01,0.0616203381102408
AGO,2011-09-01,0.0595369002934931
AGO,2011-10-01,0.0497922780093673
AGO,2011-11-01,0.0519162370602987
AGO,2011-12-01,0.0550452055486434
AGO,2012-01-01,0.0545813015580781
AGO,2012-02-01,0.0527496338612929
AGO,2012-03-01,0.0510921535269326
AGO,2012-04-01,0.0441515373848823
AGO,2012-05-01,0.0399009018135307
AGO,2012-06-01,0.0464206099178118
AGO,2012-07-01,0.0414242183238106
AGO,2012-08-01,0.0470912673316949
AGO,2012-09-01,0.0386661931617349
AGO,2012-10-01,0.0468125070633298
AGO,2012-11-01,0.0468125070633298
AGO,2012-12-01,0.0468125070633298
AGO,2013-01-01,0.0450256337090726
AGO,2013-02-01,0.0431105406446486
AGO,2013-03-01,0.0402301358819441
AGO,2013-04-01,0.0403644795096696
AGO,2013-05-01,0.0511238680593198
AGO,2013-06-01,0.0478470472892284
AGO,2013-07-01,0.0465201352505152
AGO,2013-08-01,0.050972788707172
AGO,2013-09-01,0.0533608026811745
AGO,2013-10-01,0.0374052951861325
AGO,2013-11-01,0.0346871905962597
AGO,2013-12-01,0.0307455746556536
AGO,2014-01-01,0.0298117571590543
AGO,2014-02-01,0.0282114880807881
AGO,2014-03-01,0.027570995020225
AGO,2014-04-01,0.042288195270181
AGO,2014-05-01,0.0662142478801704
AGO,2014-06-01,0.0718704009707062
AGO,2014-07-01,0.0682947668856948
AGO,2014-08-01,0.0810232204800885
AGO,2014-09-01,0.07201360197716
AGO,2014-10-01,0.079034726932298
AGO,2014-11-01,0.0730168041372656
AGO,2014-12-01,0.0711231531152851
AGO,2015-01-01,0.0647712518296386
AGO,2015-02-01,0.0647712518296386
AGO,2015-03-01,0.0722013826381758
AGO,2015-04-01,0.0627837412802142
AGO,2015-05-01,0.0517391159434676
AGO,2015-06-01,0.0377413577168044
AGO,2015-07-01,0.0398786784486297
AGO,2015-08-01,0.038294266250021
AGO,2015-09-01,0.0340400054967339
AGO,2015-10-01,0.0395731834900131
AGO,2015-11-01,0.0403643879217756
AGO,2015-12-01,0.0385990850404275
AGO,2016-01-01,0.0413561199581442
AGO,2016-02-01,0.0376300913611782
AGO,2016-03-01,0.0510238259674791
AGO,2016-04-01,0.0806809174917009
AGO,2016-05-01,0.1042135417613794
AGO,2016-06-01,0.0902488486730195
AGO,2016-07-01,0.0889050389413196
AGO,2016-08-01,0.1103479293435067
AGO,2016-09-01,0.1089725229526686
AGO,2016-10-01,0.0869331029020036
AGO,2016-11-01,0.0796994628472971
AGO,2016-12-01,0.0709406540839143
AGO,2017-01-01,0.0773101517246698
AGO,2017-02-01,0.0831535424265192
AGO,2017-03-01,0.0861145847786988
AGO,2017-04-01,0.0967481042844331
AGO,2017-05-01,0.0816589177385336
AGO,2017-06-01,0.0914151908070972
AGO,2017-07-01,0.1022909375885843
AGO,2017-08-01,0.0646653582442702
AGO,2017-09-01,0.0592149425618544
AGO,2017-10-01,0.0608448294828869
AGO,2017-11-01,0.0481798942266628
AGO,2017-12-01,0.0479797831661692
AGO,2018-01-01,0.0497162858847039
AGO,2018-02-01,0.0535725765392484
AGO,2018-03-01,0.0565883874476756
AGO,2018-04-01,0.0593014635461327
AGO,2018-05-01,0.0494208955145075
AGO,2018-06-01,0.0580986046437674
AGO,2018-07-01,0.0545480648260828
AGO,2018-08-01,0.054211759880824
AGO,2018-09-01,0.0529336375356183
AGO,2018-10-01,0.0703863155644954
AGO,2018-11-01,0.069835123141354
AGO,2018-12-01,0.0671645003762043
AGO,2019-01-01,0.0648028847713212
AGO,2019-02-01,0.0602068871824502
AGO,2019-03-01,0.0546340120160128
AGO,2019-04-01,0.0481549218005786
AGO,2019-05-01,0.0773308892117195
AGO,2019-06-01,0.0907053388476033
AGO,2019-07-01,0.0881197494487923
AGO,2019-08-01,0.1007516637688968
AGO,2019-09-01,0.0946900385664069
AGO,2019-10-01,0.1056956431253194
AGO,2019-11-01,0.1200067610915479
AGO,2019-12-01,0.1163701914984716
AGO,2020-01-01,0.0746584195086642
AGO,2020-02-01,0.0749514233133755
AGO,2020-03-01,0.0834611765515141
AGO,2020-04-01,0.092923280390922
AGO,2020-05-01,0.0978201607246609
AGO,2020-06-01,0.1180457293827204
AGO,2020-07-01,0.1248415176321017
AGO,2020-08-01,0.1231100003589802
AGO,2020-09-01,0.1214662178981235
AGO,2020-10-01,0.1194695481414643
AGO,2020-11-01,0.113689861961598
AGO,2020-12-01,0.1066419049388466
AGO,2021-01-01,0.1025752840476608
AGO,2021-02-01,0.0898546407439691
AGO,2021-03-01,0.0873411253260289
AGO,2021-04-01,0.0843224499061091
AGO,2021-05-01,0.0830189673021048
AGO,2021-06-01,0.0696739599592289
AGO,2021-07-01,0.0592497175710292
AGO,2021-08-01,0.0480324773113063
AGO,2021-09-01,0.1589604799822883
AGO,2021-10-01,0.1537758558357086
AGO,2021-11-01,0.1537758558357086
AGO,2021-12-01,0.1458430509469741
AGO,2022-01-01,0.1058172447318405
AGO,2022-02-01,0.0966134101680507
AGO,2022-03-01,0.1348522250680146
AGO,2022-04-01,0.1295810904906499
AGO,2022-05-01,0.1251064602241989
AGO,2022-06-01,0.1251064602241989
AGO,2022-07-01,0.0646465413674638
AGO,2022-08-01,0.0381089317202096
AGO,2022-09-01,0.0338103234617045
AGO,2022-10-01,0.0337761869837046
AGO,2022-11-01,0.0330463502566851
AGO,2022-12-01,0.0318972780945456
AGO,2023-01-01,0.0280244505873768
AGO,2023-02-01,0.0293676712634681
AGO,2023-03-01,0.033279312081578
