Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Kuwait,KWT,24.6194410052548,26.2463742340238,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Kyrgyz Republic,KGZ,24.9532006958277,25.5941187869926,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Lao PDR,LAO,24.0773709113046,26.9542508152187,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Late-demographic dividend,LTE,9.22467630819246,13.0531528292387,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Latin America & Caribbean,LCN,28.7565425991167,34.4470785648492,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Latin America & Caribbean (excluding high income),LAC,30.2645460736002,36.0842292561255,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,29.3775293399169,34.5899202756537,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Latvia,LVA,4.97881588598373,14.7836435724912,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Least developed countries: UN classification,LDC,45.909031426755,46.5677975359456,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Lebanon,LBN,18.6032250993134,34.1915560254651,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Lesotho,LSO,51.1763941592851,54.1430545010029,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Liberia,LBR,57.2201260415226,56.966153799608,..,..
